,0
348,1298590.1750442083
349,1268572.370808558
350,1379640.0432511186
351,1331219.542414371
352,1331414.00775646
353,1333933.7067957637
354,1361002.0238674292
355,1294123.4482439205
356,1348657.2704978988
357,1279629.378545763
358,1257346.8905686594
359,1230892.0639058913
360,1287934.6535379593
361,1325842.0541831409
362,1263584.643599224
363,1335283.1713547145
364,1336531.6171565205
